address,ground_truth_label,ground_truth_source,ground_truth_evidence_type,ground_truth_date,ground_truth_independent,notes
1E6qZkzbGZHh9hWF4dQcTUdbmsYkvBYPrR,sextortion,watchyourback_manual,academic_verified,,yes,
115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,ransomware,watchyourback_manual,academic_verified,,yes,
123WBUDmSJv4GctdVEz6Qq6z8nXSKrJ4KX,darknet market,ofac_sdn,official_sanction,,yes,
12VrYZgS1nmf9KHHped24xBb1aLLRpV2cT,darknet market,ofac_sdn,official_sanction,,yes,
12t9YDPgwueZ9NyMgw519p7AA8isjr6SMw,ransomware,watchyourback_manual,academic_verified,,yes,
13AM4VW2dhxYgXeQepoHkHSQuy6NgaEb94,ransomware,watchyourback_manual,academic_verified,,yes,
13KBb1G7pkqcJcxpRHg387roBj2NX7Ufyf,ransomware,watchyourback_manual,academic_verified,,yes,
13LQJQ1oJ9K7PsqsGfjNhoVv6UeU6hgzQz,darknet market,ofac_sdn,official_sanction,,yes,
13UPaXjNhgTZ93MZqnr3roMNM8mCwLHDcK,ransomware,watchyourback_manual,academic_verified,,yes,
13hQVEstgo4iPQZv9C7VELnLWF7UWtF4Q3,mining,watchyourback_manual,academic_verified,,yes,
13hfsQm6oCaDZehfYBSMFiJVAi1jsL6sQd,darknet market,ofac_sdn,official_sanction,,yes,
13qm2ezhWSHWzMsGcxtKDhKNnchfP5Sp3X,ransomware,watchyourback_manual,academic_verified,,yes,
145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,scam,watchyourback_manual,academic_verified,,yes,
145tSHbcj1s3CJVMFrGLQZmPyjYQVKWcch,exchange,watchyourback_manual,academic_verified,,yes,
147SwRQdpCfj5p8PnfsXV2SsVVpVcz3aPq,mining,watchyourback_manual,academic_verified,,yes,
148LKmyZT3FGE4x1GjsFN6RsAwcjzk5iuE,darknet market,ofac_sdn,official_sanction,,yes,
14ChPPM8rPYJeHnw6kMVUDnNNKx1KnjYW4,gambling,watchyourback_manual,academic_verified,,yes,
14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,mining,watchyourback_manual,academic_verified,,yes,
14gM1HuLVDELNHaFU22qpabjtiWek4HhV1,darknet market,ofac_sdn,official_sanction,,yes,
15FmQAdPrGkm2ouoUXu56zeoRVVpk4W6zY,exchange,watchyourback_manual,academic_verified,,yes,
15PggTG7YhJKiE6B16vkKzA1YDTZipXEX4,mixer,ofac_sdn,official_sanction,,yes,
15beJSBDXuCkWUHsAt6C7tpeEyBBj687TZ,exchange,watchyourback_manual,academic_verified,,yes,
15gvRgxdwMF5y3Kcc2X7WLpUMGW9wgyRB4,scam,watchyourback_manual,academic_verified,,yes,
15xd99WKi98JK9bUPp4AZEc2gZ5y7bBMCQ,scam,watchyourback_manual,academic_verified,,yes,
15zGqZCTcys6eCjDkE3DypCjXi6QWRV6V1,ransomware,watchyourback_manual,academic_verified,,yes,
161gTqw3CHVqiBfmC3vCLrXPob6wLQSKP4,gambling,watchyourback_manual,academic_verified,,yes,
16EKTes8ahD8xvwisqjc2xSNLiG3fDHatW,darknet market,ofac_sdn,official_sanction,,yes,
16EegrNMdZ9Rxku6Za5neEFjMW57wkQr1S,scam,watchyourback_manual,academic_verified,,yes,
16SPDQFFzgsoNSPiFFTfS8Dw8LLXqia4oc,darknet market,ofac_sdn,official_sanction,,yes,
16ZSAEfYpPCj3D94fsNt2okYj9Ue8mxy6T,darknet market,ofac_sdn,official_sanction,,yes,
16p2UWTZwXRyK5bTHNVjdDyy1D3EQGsZf2,darknet market,ofac_sdn,official_sanction,,yes,
17262J1AXJpnVi13PMJXKSfSKztwz8RbV,exchange,watchyourback_manual,academic_verified,,yes,
175BUqf8JCU1uoG1iTRKTacDa4uvJDUCw2,darknet market,ofac_sdn,official_sanction,,yes,
17C41iFaMBrUPyZZvexainuVuZi3cM15Vj,ransomware,watchyourback_manual,academic_verified,,yes,
17KAXqEFAictNnzWVPfQ4oGZGdJ8s1TwET,ransomware,watchyourback_manual,academic_verified,,yes,
17V7THwHMiDJmDwZK4unhE5HgKFJKx7VCe,darknet market,ofac_sdn,official_sanction,,yes,
17W4PZ2PS3KksDy5T6yE7FaJsgjmnYMXuP,exchange,watchyourback_manual,academic_verified,,yes,
17gH1u6VJwhVD9cWR59jfeinLMzag2GZ43,mixer,watchyourback_manual,academic_verified,,yes,
17mhyeBX617ABZ1ffThhUTJkHUcMvCkfd5,darknet market,ofac_sdn,official_sanction,,yes,
18UbYDCEpyhWwXgkYrJtxRyL1A4R7Cv7G4,ransomware,watchyourback_manual,academic_verified,,yes,
18XXV3h9zzzJ1R4v6DiGmfgcooG1Vk9B1m,ransomware,watchyourback_manual,academic_verified,,yes,
18cFGAdYcvNHkuhXLBE7izQKCyUW8TzCJE,darknet market,ofac_sdn,official_sanction,,yes,
18prjukrWtNRdKXtZLwL7bUgk6J5kkVWMH,ransomware,watchyourback_manual,academic_verified,,yes,
18ydpKVaT2gzKRAMkHdPeZ3oLLpNb1jchD,scam,watchyourback_manual,academic_verified,,yes,
198i5jrY1B4xGnQwbiDVuQzcq17thzaH1s,mining,watchyourback_manual,academic_verified,,yes,
19CrVPsyhvTM431kN5A3xJ5f6ux5gphgF9,exchange,watchyourback_manual,academic_verified,,yes,
19FQzHibWDhSP8pKmJS3uagFYoisXtehzw,darknet market,ofac_sdn,official_sanction,,yes,
19S7k3zHphKiYr85T25FnqdxizHcgmjoj1,ransomware,watchyourback_manual,academic_verified,,yes,
19WZkLuC6meqfHPEfbedpTAP1WXEHeyG61,scam,watchyourback_manual,academic_verified,,yes,
19aaLsPkiJuFZck7U4mryKFiUg633UJDhm,exchange,watchyourback_manual,academic_verified,,yes,
19iVyH1qUxgywY8LJSbpV4VavjZmyuEyxV,exchange,watchyourback_manual,academic_verified,,yes,
19oLXZPUirBimZQ3jLviDMRzF9NAZDjG8K,ransomware,watchyourback_manual,academic_verified,,yes,
19pPbUDvoSBZafkUCYkD2Z9AkuqqV6sWm7,darknet market,ofac_sdn,official_sanction,,yes,
19t7RxwXdfiwQMyQ3JVB16e9HgV7omijSs,mining,watchyourback_manual,academic_verified,,yes,
1A3iYY4c3dkgNYGewzYzr7EsqfBuWXibGo,darknet market,ofac_sdn,official_sanction,,yes,
1ANpca7g93BwptUJg1zV116v49zn9gjDi3,darknet market,ofac_sdn,official_sanction,,yes,
1AgUNMjEwz4zoUaYsx3J77NcP2usGEiZkM,ransomware,watchyourback_manual,academic_verified,,yes,
1AvJbFTUMipcdp6DY4uJQTdpwzWdmSyRB8,mining,watchyourback_manual,academic_verified,,yes,
1B11Ezqg3AXjFhMdRq5UpPDpNyriYNVtkn,darknet market,ofac_sdn,official_sanction,,yes,
1B3u21itzjgKtm7QsNQNCBpSkwzzeDHqrW,darknet market,ofac_sdn,official_sanction,,yes,
1BCWMwpR4M1nYUuuYe2bmzrNuwGoF9ZAbA,darknet market,ofac_sdn,official_sanction,,yes,
1Ba6gcNWhAxaUrw8KExZUR7sm1XDdJUn2a,ransomware,watchyourback_manual,academic_verified,,yes,
1BiyLYjfDNQSP81uvr5gzNW77P2viGWi8m,scam,watchyourback_manual,academic_verified,,yes,
1BvJRBRp9ZZ6zLyuZaZsV7g3xP6JokdZQW,darknet market,ofac_sdn,official_sanction,,yes,
1BzSWghdNus1FMF55HSAMdo1u3s76Uc2aw,scam,watchyourback_manual,academic_verified,,yes,
1C1EpSwTtWYL3wGSzFozn8UKYDz86nNoVD,exchange,watchyourback_manual,academic_verified,,yes,
1CDH7oUUxMyo6T5QHovu82ygUEXpQ5rgWV,scam,watchyourback_manual,academic_verified,,yes,
1CG1aSCxUnbmv9G34ofxTQoHtuVnMLJtQV,darknet market,ofac_sdn,official_sanction,,yes,
1CNbhgxGRZvsWnEHotfXge7k2E1UPzBDC7,darknet market,ofac_sdn,official_sanction,,yes,
1CdWQJMiQF1uYbwKc7fb5VBb9JBrhykcNf,scam,watchyourback_manual,academic_verified,,yes,
1CddRqw7oSPrT4tt5oXKyx2LiHJDPszy7y,darknet market,ofac_sdn,official_sanction,,yes,
1CfrdGWi4XPXFkEHRerQ7tmwFuKPWMzyzW,exchange,watchyourback_manual,academic_verified,,yes,
1CpVAEg4BgVzjiHshgeZfitZLV1t1zo6Qg,scam,watchyourback_manual,academic_verified,,yes,
1D1ej7zQzywWBDNXKNYpmH7Hso2U9koDG4,darknet market,ofac_sdn,official_sanction,,yes,
1D3GuaS9eqKw8dWj9JFQtNufdRtysjSLxZ,darknet market,ofac_sdn,official_sanction,,yes,
1DGsY4ww3BJnWXTsnmTgWa6UWdoRXgA1pX,darknet market,ofac_sdn,official_sanction,,yes,
1DKGRGJXGNLAtTeFb9SNPNHtrkZ87q7qKi,darknet market,ofac_sdn,official_sanction,,yes,
1DMBSsLZr7hh3LQhzFjX15xPzSz4aXa5ZT,ransomware,watchyourback_manual,academic_verified,,yes,
1DWNbQW5HvXde4tU4ZdFQmc8Gp7paMpvNu,ransomware,watchyourback_manual,academic_verified,,yes,
1Dpddb1TMjvmNQeYDqgyd1ww6cmwPJRdSk,darknet market,ofac_sdn,official_sanction,,yes,
1Dtykbcz4dsKzHrddrkxw8FrKKiVu2tTgX,scam,watchyourback_manual,academic_verified,,yes,
1DtyvLb1pDzXVoaVnJLAFzBJN6b4gcJSdR,ransomware,watchyourback_manual,academic_verified,,yes,
1E34BRTrVrWoENaqV8kxiRYzjjc7xsTFzE,ransomware,watchyourback_manual,academic_verified,,yes,
1E9uUnLbyfToazo95vmM3ysYnzgkrL7GeC,darknet market,ofac_sdn,official_sanction,,yes,
1EEqRvnS7XqMoXDcaGL7bLS3hzZi1qUZm1,exchange,watchyourback_manual,academic_verified,,yes,
1EMG2n35pxcC7ycvwErvCFkzvaNXBz85hG,scam,watchyourback_manual,academic_verified,,yes,
1EQiMGLApzDdPYLWoDMyUo27q5ashMXdQ,ransomware,watchyourback_manual,academic_verified,,yes,
1EWdps7P7o2u616u9a36CK6Jjnbr1A2HUJ,scam,watchyourback_manual,academic_verified,,yes,
1EtMuBPQnPCa3cecerdSH1SzydxnhbTmw,darknet market,ofac_sdn,official_sanction,,yes,
1EuUMPBCZtSd5pVVFEqmRqUSfU1qy6ASuL,darknet market,ofac_sdn,official_sanction,,yes,
1EvhBad5wCZYhBoAsGaciV6AvmZ1osLpeJ,darknet market,ofac_sdn,official_sanction,,yes,
1F7UL41qYm6TvnExZzPHBCyeENvX3XDEMS,darknet market,ofac_sdn,official_sanction,,yes,
1FFS6pX1TCKTNy668Mbk2Lyoem1qB48kYX,darknet market,ofac_sdn,official_sanction,,yes,
1FLH1SoLv4U68yUERhDiWzrJn5TggMqkaZ,mining,watchyourback_manual,academic_verified,,yes,
1FnaucN6FtADHUD5Z1mW55j9okubkjsTAW,scam,watchyourback_manual,academic_verified,,yes,
1G64TFMFVJTjhJXra6x74BBhsfSyiWaFtT,darknet market,ofac_sdn,official_sanction,,yes,
1G6tQeWrwp6TU1qunLjdNmLTPQu7PnsMYd,ransomware,watchyourback_manual,academic_verified,,yes,
1G7fTH4E1brom3ojU4JjUvKintWY8hezri,ransomware,watchyourback_manual,academic_verified,,yes,
1GYuu9d5HPikafbys3k5Q3DRJq6debGsoB,darknet market,ofac_sdn,official_sanction,,yes,
1GcKLUUXodTQcLcPD7VLMgvCc4hs5Q775,darknet market,ofac_sdn,official_sanction,,yes,
1Ge8JodC2HiBiEuT7D3MoH6Fak6XrcT9Kf,darknet market,ofac_sdn,official_sanction,,yes,
1GkLN7DbA9mAtHNzQWNPANcdWbefaz4Gzm,darknet market,ofac_sdn,official_sanction,,yes,
1GnFTy5F9qi5MfaRZfgdg2jkyT5xtAHvd8,darknet market,ofac_sdn,official_sanction,,yes,
1H8sDTTgJPBKw83EBZDLhXvetCbxZUMMZM,darknet market,ofac_sdn,official_sanction,,yes,
1HB3KtKoguFuZ4BdmCv9Fc4tYTwDQgmqmW,sextortion,watchyourback_manual,academic_verified,,yes,
1HH8eiuaTMucTNyvGCUmAvmCZCtdMi8SqK,darknet market,ofac_sdn,official_sanction,,yes,
1HN1r24sZ79yTS6pAczzyCssCtL8UsaqL6,ransomware,watchyourback_manual,academic_verified,,yes,
1HVi6re6zDr5c5v9Sk2mmL9u7svEHfiBt4,gambling,watchyourback_manual,academic_verified,,yes,
1Hhe61Bwxs8Hd2WxzWY9FQyZicBiZGeSNW,darknet market,ofac_sdn,official_sanction,,yes,
1Hj2r8SnVim48qG3E4QwZ6td8PMcUiXnGU,scam,watchyourback_manual,academic_verified,,yes,
1HrEqMHQVWhKuCg7a3rxo2tAFAiKquJ5iP,ransomware,watchyourback_manual,academic_verified,,yes,
1HuYfoEwsfHgZiRhbhJrCd5ST3iksa8KEx,darknet market,ofac_sdn,official_sanction,,yes,
1J25YSaUJQT9AdEJ9rmSrKRZhCpc6Wkr7e,scam,watchyourback_manual,academic_verified,,yes,
1J9wJH2bamZVxscXAvoDH4jvtGKb7sYFDm,darknet market,ofac_sdn,official_sanction,,yes,
1JCMYAkmxibo8EKJWyqtHadCy3NfPJvJwW,scam,watchyourback_manual,academic_verified,,yes,
1JSeDGPmq74JP2RQXqJFdHH3L2jcie3w4X,scam,watchyourback_manual,academic_verified,,yes,
1JyRhM9ndcqacWkJRRnn2mbmQZ3XxcN7wy,scam,watchyourback_manual,academic_verified,,yes,
1K2fmE9hfhbRNSZoBvCBWZAvsS5idTUxBG,darknet market,ofac_sdn,official_sanction,,yes,
1KAGE12gtYVfizicQSDQmnPHYfA29bu8Da,scam,watchyourback_manual,academic_verified,,yes,
1KCGP2CLEhBxxfHtNE4dE4SZduxmjRuUR7,ransomware,watchyourback_manual,academic_verified,,yes,
1KPGDc6oHpvWoUSyssxqmRgwtUqsyyey2y,gambling,watchyourback_manual,academic_verified,,yes,
1KTt5AUL58hYmkAR5zkuUR6vu5KKDi3QBx,ransomware,watchyourback_manual,academic_verified,,yes,
1KZ1zZ1gQxHi5jrmXUkXiVXhgrqWdVRDqs,ransomware,watchyourback_manual,academic_verified,,yes,
1KkaKujnqwJf7Cbm7JKAZGF3X9d4685m8n,darknet market,ofac_sdn,official_sanction,,yes,
1L2utMwJjCCYr8FHzVpvvvatLP2SHEGjry,ransomware,watchyourback_manual,academic_verified,,yes,
1L5zxpkAuh5sVx8aoMvLFegf59jk2NSyty,scam,watchyourback_manual,academic_verified,,yes,
1LKE3XA9bf5JFqtGtCHzWj5QGxKGwMfXZw,darknet market,ofac_sdn,official_sanction,,yes,
1LLiTbEQE1jUayUKyeyokYCYBEi5rZ1Ghx,scam,watchyourback_manual,academic_verified,,yes,
1Licqjca74n8pmNaoARXLLqcTUTHFpxbXH,darknet market,ofac_sdn,official_sanction,,yes,
1Lv9ofuunrmtQeGPMJCj4iwJbr6wGbossn,exchange,watchyourback_manual,academic_verified,,yes,
1LvjTxjFnjomvvMK8CGx1qZ1zpLJFUFRmq,ransomware,watchyourback_manual,academic_verified,,yes,
1MFVUvYvdkzzzQ65JF5Rv5p1hTUnss3RMe,exchange,watchyourback_manual,academic_verified,,yes,
1MQBDeRWsiJBf7K1VGjJ7PWEL6GJXMfmLg,darknet market,ofac_sdn,official_sanction,,yes,
1MXTmn5nBQ6GLr52AqpM7kdhk5mByvdp8P,exchange,watchyourback_manual,academic_verified,,yes,
1MbtT2ZsTtLp7EKZUV9r74cTyqvsMtTP2M,darknet market,ofac_sdn,official_sanction,,yes,
1MpLjpT44A5yyRbtGG61rtpgwxdJB3onsB,scam,watchyourback_manual,academic_verified,,yes,
1MtsQsw6n2jvJCWhpCw7jifTfD9Q3rBBVg,darknet market,ofac_sdn,official_sanction,,yes,
1Mz7153HMuxXTuR2R1t78mGSdzaAtNbBWX,ransomware,watchyourback_manual,academic_verified,,yes,
1N2uxuMXP7RmZov8XuB13sUiKcSSAABmVf,scam,watchyourback_manual,academic_verified,,yes,
1NbGwQwt4uEhg2srAKppLf8QaF6fbp3PZG,darknet market,ofac_sdn,official_sanction,,yes,
1Ni8z1MbaF4ri8GGE67BWtLu66YnXj2BuW,exchange,watchyourback_manual,academic_verified,,yes,
1NjKNU7FKiZ4VH8GJwHogxp81KVcw7a8Kn,scam,watchyourback_manual,academic_verified,,yes,
1NvJm3jfZxENNyqws5BKQvhkLxg9chLJdo,darknet market,ofac_sdn,official_sanction,,yes,
1NxaBCFQwejSZbQfWcYNwgqML5wWoE3rK4,gambling,watchyourback_manual,academic_verified,,yes,
1PCh7w6LdcEv1sWd5wtvkELHcWe5HumUi3,scam,watchyourback_manual,academic_verified,,yes,
1PJp8diNa89cVHpiT1VPu7EQ8LxYM5HX6v,darknet market,ofac_sdn,official_sanction,,yes,
1PWRKxkR5AU7Tc9zPqjdhtu1eGW1QZzs4y,darknet market,ofac_sdn,official_sanction,,yes,
1PXxwPVtYxZiCRp9LKq7aKMDFrhAQztvUE,darknet market,ofac_sdn,official_sanction,,yes,
1PYtgFS2t6i57WdDvbRa7kPcsagGMBxzfg,darknet market,ofac_sdn,official_sanction,,yes,
1PZS9LzUFcbCREZw3AzY4U8c9AwjcccMJo,scam,watchyourback_manual,academic_verified,,yes,
1Pu1nAW7kCoSMThMs8QcpM8JxuByQDZgH,darknet market,ofac_sdn,official_sanction,,yes,
1Pv1djEWrEvfgHkr8A27nkpLigmFYttCM3,mining,watchyourback_manual,academic_verified,,yes,
1Q4tJjH2aBr3AJrzxqa4Z3jPpf5SDgF4jK,darknet market,ofac_sdn,official_sanction,,yes,
1Q7gS7fi7R26kYRBXEcNeK7f2foi3BfkkE,scam,watchyourback_manual,academic_verified,,yes,
1QAc9S5EmycqjzzWDc1yiWzr9jJLC8sLiY,ransomware,watchyourback_manual,academic_verified,,yes,
1QHxyuLGRMHfbNPJikV4Dwhfx45HWfUMWB,darknet market,ofac_sdn,official_sanction,,yes,
1Sf6e4xQv8muMZqYPTdRFf3e5o5eWcg9F,darknet market,ofac_sdn,official_sanction,,yes,
1VayNert3x1KzbpzMGt2qdqrAThiRovi8,mining,watchyourback_manual,academic_verified,,yes,
31t4nEpcwyQJT1VuXdAoQZTT5givRDPsNP,mixer,ofac_sdn,official_sanction,,yes,
32DaxSzUhLBHY2WGSWQYiBSHnRsfQZrrRp,mixer,ofac_sdn,official_sanction,,yes,
32PsiT8itBrEF84ebdaF82yBUEcz5Wc6uY,mixer,ofac_sdn,official_sanction,,yes,
32VgTk8kGvBsqkHhkvtNooGdtqZm46jTVo,exchange,ofac_sdn,official_sanction,,yes,
32fbAZMTaQxNd2fAue1PgsiPgWfcsHBQQt,mixer,ofac_sdn,official_sanction,,yes,
32pCmCWEjwhkLwh5BgLNAeBQFp5Gi1hv81,darknet market,ofac_sdn,official_sanction,,yes,
32wdqwX3zCEX3DhAVEcKwXCEGdzgBnx1R9,exchange,ofac_sdn,official_sanction,,yes,
331TS6DyASY7iU5CRA8UryBnkPS78fP2B1,darknet market,ofac_sdn,official_sanction,,yes,
