address,label,source,timestamp
1JCgEWyEzWS6vMG3Uzc5DjwH2xR9Qprs7G,mixer,example_feed,2026-01-05
1C1Zxxfabjeb715xQ3hA7GgQyqmxoM3HVt,exchange,example_feed,2026-01-05
12d4ExaZ8anfkqrWsTrdo6GQMDafQhZvDw,ransomware,example_feed,2025-11-30
1N4uxovFr2R3EturCFnfMbjbSrqxFt4TMX,exchange:examplecoin,example_feed,
3GTx9Tr3qkyKo8Tdg159oGiRVEb6bN73Kr,gambling,example_feed,2024-02-11
124vix2prHCbD1hA8JBa1PtFvjFCe38yVL,darknet market,example_feed,
152u6KakJ9YuZa7wacYja67KyhMqJPb1yX,scam,example_feed,2026-03-02
1PqbmmN7sUiCae5kDDRxYUgiu7odDQfcXX,mixer,example_feed,
1PqbmmN7sUiCae5kDDRxYUgiu7odDQfcXX,exchange,example_feed,
31xDfiF7UM8FyznBKdQAW357yo7BgnDjoR,custodial-thing,example_feed,2023-07-19
19kHLQHALdVV2ydamK6bRCUD7BRnDZntXG,ponzi,example_feed,2026-02-14
bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,exchange,example_feed,2026-04-01
